Month,Downloads Forecast,Downloads Lower CI,Downloads Upper CI,Rewards Forecast,Rewards Lower CI,Rewards Upper CI,YourReward Forecast,YourReward Lower CI,YourReward Upper CI
2025-12-01,70218.61184558435,69896.64307698401,70540.5806141847,70362.35854045478,70041.96195177916,70682.7551291304,70362.35854045478,70041.96195177916,70682.7551291304
2026-01-01,70984.0332149782,70661.57808844412,71306.48834151229,71172.1871269925,70851.30655527866,71493.06769870635,71172.1871269925,70851.30655527866,71493.06769870635
2026-02-01,71749.45458437208,71426.49866834287,72072.4105004013,71982.01571353024,71660.63679768637,72303.39462937412,71982.01571353024,71660.63679768637,72303.39462937412
2026-03-01,72514.87595376596,72191.40488370795,72838.34702382398,72791.84430006798,72469.95274570271,73113.73585443325,72791.84430006798,72469.95274570271,73113.73585443325
2026-04-01,73280.29732315982,72956.29680305721,73604.29784326242,73601.67288660571,73279.25446751098,73924.09130570044,73601.67288660571,73279.25446751098,73924.09130570044
2026-05-01,74045.7186925537,73721.17449635678,74370.26288875061,74411.50147314345,74088.54203273563,74734.46091355127,74411.50147314345,74088.54203273563,74734.46091355127
